aid,epaReg,prodName,sourcePage,evType,ts
825dfc571ddb396e52fac55c4dc6101bb7f51b2aa84b6b7bb840b1caffb2f3b5,53575-32,Isomate®  CM Flex,H&S,evDownloadLabel,2021-01-31T17:48:21.071Z
825dfc571ddb396e52fac55c4dc6101bb7f51b2aa84b6b7bb840b1caffb2f3b5,2792-62,AGCLOR 310,PICOL,evDownloadLabel,2021-02-01T02:52:04.650Z
4a3a7f86095a34ab165516a8da2d97f80e276af657c6eec30eb0553398aa9e03,62719-591,Lorsban® Advanced,H&S,evDownloadLabel,2021-02-02T01:25:11.611Z
4a3a7f86095a34ab165516a8da2d97f80e276af657c6eec30eb0553398aa9e03,71096-6,Rex Lime Sulfur Solution,H&S,evDownloadLabel,2021-02-02T02:06:29.527Z
4a3a7f86095a34ab165516a8da2d97f80e276af657c6eec30eb0553398aa9e03,264-1025,Belt® SC Insecticide,H&S,evDownloadLabel,2021-02-02T02:07:28.017Z
00ca5464486d0dff8753719aa1f0d2a5166c5acbb47da55d87c1cbb22e2b2193,62719-541,Delegate® WG,H&S,evDownloadLabel,2021-02-02T21:05:05.227Z
5396bcf828cb487b3b3e04ef34e2fb7a1538107652810ac9dca159a08947171c,34704-890,MAD DOG PLUS,PICOL,evDownloadLabel,2021-02-02T21:10:13.395Z
5396bcf828cb487b3b3e04ef34e2fb7a1538107652810ac9dca159a08947171c,70299-17,AZAGUARD BOTANICAL INSECTICIDE/NEMATICIDE,PICOL,evDownloadLabel,2021-02-02T21:11:43.785Z
959550a93252272da3b9f8da278240407cb89f8ac4ade92a22d881cacc1f92e2,33270-21,"2,4-D /AMINE 4 HERBICIDE",PICOL,evDownloadLabel,2021-02-02T21:11:48.856Z
00ca5464486d0dff8753719aa1f0d2a5166c5acbb47da55d87c1cbb22e2b2193,400-503,ACRAMITE-50WS,PICOL,evDownloadLabel,2021-02-02T21:12:46.384Z
